,cent_latitude,cent_longitude,clust_size,min_distance
285,39.0846988348,-76.8763398674,37,13.6592557204
286,34.0549527089,-84.0770532044,30,9.00638968171
287,33.46697806,-117.65648846,33,0.603421568323
288,34.7546288911,-92.2817921156,45,14.8984188202
289,36.778261,-119.4179324,45,3.26703934664
290,43.6565968844,-70.25586254,43,20.4404818755
291,34.0823089311,-117.238874024,43,1.00589637187
292,32.9520497067,-96.8629288533,45,17.9922158528
293,38.8332614933,-77.4370622333,35,13.2830693279
294,40.588429675,-111.890421809,46,9.29599207913
295,40.172446175,-74.9142340659,36,15.2935135182
296,29.6516344,-82.3248262,44,4.28027200139
297,35.9249015045,-86.8687374636,44,11.999110304
298,42.7592932818,-71.4634011182,44,19.0745111503
299,44.2507362636,-88.4199486795,44,20.0867420322
300,33.9557141068,-83.3818019955,44,8.64666603398
301,-8.67830436364,115.208048091,44,43.9355662737
302,40.6191087023,-75.4887620698,42,15.5236479036
303,39.363664769,-74.429470531,40,14.7270818068
304,39.165325,-86.5263857,42,14.6729009621
305,38.7277476214,-77.2249864643,40,13.2281708026
306,13.7806967976,100.617330557,47,30.4008250024
307,38.9752215429,-76.5009060571,43,13.6536849064
308,44.9363821585,-92.9720159976,48,22.881928255
309,37.6488788415,-77.5228189463,41,12.1096074186
310,39.9842636244,-75.623522139,54,14.8785730101
311,41.5004114951,-81.5194779951,34,15.6783109242
312,44.8840315171,-93.6074712561,57,23.1962717274
313,39.9638922366,-105.085788978,38,14.501169386
314,42.0164086561,-88.2098930951,32,17.9712300344
315,37.7993839341,-121.990184329,34,5.55321066941
316,42.071700422,-72.5925278512,50,17.953994494
317,44.680923245,-93.2153651975,40,22.806146544
318,37.566535,126.9779692,40,10.1034487054
319,38.0317136,-84.4951359,40,12.8592285173
320,41.7678069925,-88.32277321,34,17.798617214
321,42.260733155,-83.1867936975,50,16.6410720605
322,47.5333719275,-122.024034805,40,14.3057899758
323,47.2778711375,-122.28641255,40,14.1336360958
324,38.9716689,-95.2352501,40,19.8508180586
325,36.0331164,-86.7827772,39,12.043639947
326,40.4915610538,-88.9916344846,39,16.9994745768
327,34.2257255,-77.9447102,39,8.6900840297
328,14.5792664462,121.026095774,42,25.1062940711
329,38.7215521289,-75.0792375368,38,13.8826992754
330,40.0998214605,-83.1137481211,32,14.5029067406
331,45.6359375158,-122.657659853,38,12.6971020404
332,38.5826847289,-90.4709756789,20,16.2674116725
333,41.24022435,-73.7283386026,32,16.7277517182
334,42.6367509842,-83.0165073842,38,16.9837815255
335,47.9923914395,-122.197474579,38,14.7945697269
