cent_latitude,cent_longitude,clust_size
41.4914493907,-81.7061641961,227
42.4057073785,-83.0904003895,144
39.0114494098,-77.0870646192,184
29.9650413565,-90.0814873595,203
37.5432944963,-77.4691800936,226
38.9841408413,-77.4026548078,186
38.5815087152,-121.496437575,211
39.1293344595,-84.50202734,211
34.0706189927,-118.02820075,89
44.9205175419,-93.414157153,124
40.690675904,-74.2786490975,160
41.5976848151,-93.6526348833,212
40.0149856,-105.2705456,191
36.0871165337,-86.6489070019,187
40.9851574172,-73.7568693167,208
42.4877590531,-83.1617286101,161
36.1644467864,-86.7809201441,178
40.759315808,-111.895353247,168
49.2407340229,-123.110774271,175
39.0082397822,-94.6723240172,150
40.604218178,-74.1326363542,139
33.9015531258,-118.063269486,151
43.0730428155,-89.4011768354,161
30.3324660025,-81.6551801255,161
40.4997420755,-74.4284967113,148
41.2530813873,-95.9996397127,155
33.5779276506,-117.705753512,179
41.0815363244,-73.4939125647,121
37.6921690819,-122.097259359,155
42.8909810221,-78.8760666786,145
43.164348573,-77.6157059905,148
42.0542491535,-87.8241108799,186
33.4778706347,-112.353503951,95
42.9570396007,-85.6682386993,142
32.8572378293,-96.99285997,77
33.0123149921,-96.7000254784,123
34.0082839217,-117.918333039,113
45.5048896732,-73.5563918594,138
33.9789700051,-84.5743371307,169
43.0530332838,-76.1413125779,115
41.7980444051,-88.1099130824,110
44.8553581015,-93.3085982871,118
1.34979710458,103.82013587,131
35.1494357519,-90.0485354534,131
32.9312835062,-97.0701194202,96
26.0369896,-80.2129081891,104
47.4508391189,-122.258791852,127
37.9119546685,-122.066413031,122
28.6452928894,-81.3431439244,141
33.5787886723,-112.350758048,108
42.0826821877,-87.9465653221,53
32.7268959213,-97.3200688484,123
39.0915252117,-77.1703164942,114
34.0641812051,-84.3168025814,118
45.0456886086,-93.415645956,97
39.9801991061,-86.058268393,115
34.0559825052,-117.699034437,124
26.329980186,-80.0927368289,116
38.5283107904,-90.3781801342,110
38.2538839795,-85.758133225,113
35.7954123125,-78.8004674509,102
41.8713608345,-87.8760775618,78
39.1916183972,-76.8498100213,62
40.0776776,-75.3293550852,85
21.3052974296,-157.856515484,108
-23.5499428336,-46.6385495486,106
37.5554467327,-121.999080532,104
40.5763027779,-74.2870009385,73
42.1608857981,-87.8366615356,66
-0.3012262,36.5229641,103
35.2013516,-111.639249,103
34.0699352738,-117.806620162,73
